
-- Action --
+---------+------------+---------------------+--------------------+
| ID      | Activity   | Domain              | Type               |
+=========+============+=====================+====================+
| ACTN1   | A1         | Elevator Management | traverse           |
| ACTN3   | A1         | Elevator Management | method call        |
| ACTN2   | A1         | Elevator Management | iterator           |
| ACTN4   | A1         | Elevator Management | rank restrict      |
| ACTN5   | A1         | Elevator Management | extract            |
| ACTN1   | A2         | Elevator Management | traverse           |
| ACTN2   | A2         | Elevator Management | select             |
| ACTN3   | A2         | Elevator Management | project            |
| ACTN4   | A2         | Elevator Management | traverse           |
| ACTN5   | A2         | Elevator Management | select             |
| ACTN6   | A2         | Elevator Management | project            |
| ACTN7   | A2         | Elevator Management | set                |
| ACTN8   | A2         | Elevator Management | rename             |
| ACTN9   | A2         | Elevator Management | set                |
| ACTN10  | A2         | Elevator Management | traverse           |
| ACTN11  | A2         | Elevator Management | read               |
| ACTN12  | A2         | Elevator Management | restrict           |
| ACTN13  | A2         | Elevator Management | rank restrict      |
| ACTN14  | A2         | Elevator Management | restrict           |
| ACTN15  | A2         | Elevator Management | rank restrict      |
| ACTN16  | A2         | Elevator Management | gate               |
| ACTN17  | A2         | Elevator Management | scalar switch      |
| ACTN19  | A2         | Elevator Management | extract            |
| ACTN20  | A2         | Elevator Management | read               |
| ACTN18  | A2         | Elevator Management | select             |
| ACTN1   | A3         | Elevator Management | read               |
| ACTN2   | A3         | Elevator Management | method call        |
| ACTN3   | A3         | Elevator Management | pass               |
| ACTN4   | A3         | Elevator Management | type action        |
| ACTN5   | A3         | Elevator Management | method call        |
| ACTN6   | A3         | Elevator Management | computation        |
| ACTN7   | A3         | Elevator Management | write              |
| ACTN8   | A3         | Elevator Management | decision           |
| ACTN9   | A3         | Elevator Management | decision           |
| ACTN10  | A3         | Elevator Management | pass               |
| ACTN11  | A3         | Elevator Management | gate               |
| ACTN1   | A4         | Elevator Management | select             |
| ACTN2   | A4         | Elevator Management | cardinality action |
| ACTN3   | A4         | Elevator Management | select             |
| ACTN4   | A4         | Elevator Management | traverse           |
| ACTN5   | A4         | Elevator Management | select             |
| ACTN6   | A4         | Elevator Management | cardinality action |
| ACTN7   | A4         | Elevator Management | computation        |
| ACTN1   | A5         | Elevator Management | project            |
| ACTN2   | A5         | Elevator Management | set                |
| ACTN3   | A5         | Elevator Management | select             |
| ACTN4   | A5         | Elevator Management | set                |
| ACTN5   | A5         | Elevator Management | cardinality action |
| ACTN6   | A5         | Elevator Management | cardinality action |
| ACTN7   | A5         | Elevator Management | computation        |
| ACTN1   | A6         | Elevator Management | select             |
| ACTN2   | A6         | Elevator Management | read               |
| ACTN3   | A6         | Elevator Management | traverse           |
| ACTN4   | A6         | Elevator Management | read               |
| ACTN5   | A6         | Elevator Management | traverse           |
| ACTN6   | A6         | Elevator Management | rename             |
| ACTN7   | A6         | Elevator Management | set                |
| ACTN8   | A6         | Elevator Management | rank restrict      |
| ACTN9   | A6         | Elevator Management | extract            |
| ACTN10  | A6         | Elevator Management | rank restrict      |
| ACTN11  | A6         | Elevator Management | extract            |
| ACTN12  | A6         | Elevator Management | select             |
| ACTN13  | A6         | Elevator Management | read               |
| ACTN14  | A6         | Elevator Management | computation        |
| ACTN15  | A6         | Elevator Management | computation        |
| ACTN16  | A6         | Elevator Management | computation        |
| ACTN17  | A6         | Elevator Management | read               |
| ACTN18  | A6         | Elevator Management | computation        |
| ACTN19  | A6         | Elevator Management | computation        |
| ACTN20  | A6         | Elevator Management | computation        |
| ACTN21  | A6         | Elevator Management | computation        |
| ACTN22  | A6         | Elevator Management | restrict           |
| ACTN23  | A6         | Elevator Management | cast to instance   |
| ACTN24  | A6         | Elevator Management | restrict           |
| ACTN25  | A6         | Elevator Management | cast to instance   |
| ACTN26  | A6         | Elevator Management | gate               |
| ACTN27  | A6         | Elevator Management | decision           |
| ACTN29  | A6         | Elevator Management | read               |
| ACTN28  | A6         | Elevator Management | method call        |
| ACTN30  | A6         | Elevator Management | computation        |
| ACTN31  | A6         | Elevator Management | decision           |
| ACTN32  | A6         | Elevator Management | decision           |
| ACTN33  | A6         | Elevator Management | computation        |
| ACTN34  | A6         | Elevator Management | pass               |
| ACTN35  | A6         | Elevator Management | pass               |
| ACTN36  | A6         | Elevator Management | pass               |
| ACTN37  | A6         | Elevator Management | gate               |
